# name,base_url
CN,http://140.143.208.17:8085
CN,http://124.156.145.172
CN,http://36.140.28.16:8989
US,http://deeplx-api.2.hhtjim.com
US,https://47.79.88.99
CN,https://124.156.145.172
FR,http://51.255.18.63:8088
FR,http://51.255.18.58:8088
FR,http://51.255.18.57:8088
FR,http://51.255.18.61:8088
FR,http://51.255.18.56:8088
FR,http://51.255.18.59:8088
FR,http://149.202.17.81:8088
AT,http://152.53.37.69:8002
CN,http://154.3.35.26:8088
FR,http://149.202.17.83:8088
FR,http://149.202.17.80:8088
GB,http://149.202.17.89:8088
GB,http://149.202.17.88:8088
FR,http://149.202.17.82:8088
GB,http://149.202.17.90:8088
US,https://deeplx.wudiyxxk.eu.org
US,http://deeplx.wudiyxxk.eu.org
GB,http://188.165.11.209:8088
AT,http://185.216.178.50
CN,https://116.232.107.69:8118
US,https://142.171.228.132
CN,http://43.132.236.41
US,http://129.146.98.200:2266
US,http://146.19.216.66:12188
US,http://cd-735d1bfe9b80a9e370420e521a337862.hosted-status.eu.pagerduty.com
US,http://www.deeplstatus.com
US,https://cd-735d1bfe9b80a9e370420e521a337862.hosted-status.eu.pagerduty.com
JP,http://154.19.187.16:2560
PK,http://154.201.92.33:1002
US,https://www.deeplstatus.com
CN,http://171.110.55.131:1199
JP,http://158.101.146.132:9000
CN,https://translate.ipenguin.top
CN,http://translate.ipenguin.top
CA,http://deepl.1ove.tech
CA,https://deepl.1ove.tech
PK,http://154.201.92.33:1000
US,http://translate.sear.lol
US,https://translate.sear.lol
US,https://deeplx.kauji.de
US,http://deeplx.kauji.de
GB,http://149.202.17.91:8088
US,http://deeplx.juijx.com
US,https://deeplx.juijx.com
CN,http://deeplx.effarig.site
CN,https://deeplx.effarig.site
PK,http://154.201.92.33:1001
CN,http://39.101.172.92
FR,http://51.255.18.62:8088
CN,http://deeplxserverless.xueba520.top
CN,https://deeplxserverless.xueba520.top
US,http://23.105.207.206:10800
CN,http://139.224.191.20:9000
US,http://173.249.206.50:7018
CN,http://154.219.118.140:1001
DE,http://138.201.141.240:1199
US,https://deeplx.narutohx.asia
US,http://deeplx.narutohx.asia
FR,http://51.255.18.60:8088
US,https://deeplx.emoe.top
US,http://deeplx.emoe.top
SG,http://166.108.238.231:5566
US,http://129.146.132.38:2266
SG,https://deeplx.dev.ddyy123.top
SG,http://deeplx.dev.ddyy123.top
JP,http://193.111.30.65:10800
CA,http://74.48.158.61:10800
JP,http://43.153.134.236:3087
CN,http://47.93.102.200:6008
SG,http://128.199.122.199:1200
US,http://154.17.16.213:10800
CN,http://103.247.28.212:1118
US,https://dora2112.cyou
US,http://dora2112.cyou
CN,http://218.201.19.105:18082
SG,https://deeplx.llzz.top
CN,https://deeplx.eiix.top
CN,http://deeplx.eiix.top
CN,https://bangumi-app-deeplx.5t5.top
CN,http://bangumi-app-deeplx.5t5.top
PK,http://154.201.92.33:1004
PL,https://deeplx.3onem.eu.org
PL,http://deeplx.3onem.eu.org
US,https://deeplx1.86404505.xyz
US,http://deeplx1.86404505.xyz
US,https://deeplx.axz.me
US,http://deeplx.axz.me
KR,https://deeplx.licardo.vip
KR,http://deeplx.licardo.vip
CN,http://101.133.227.19:1118
CN,http://deeplx-hk2.dengqi.tech
CN,https://deeplx-hk2.dengqi.tech
JP,http://deeplx.wangsai.cloud
JP,https://deeplx.willwang.cloud
JP,https://deeplx.wangsai.cloud
JP,http://deeplx.willwang.cloud
JP,http://xn--pckzexbx21r8q9b.net
JP,https://xn--pckzexbx21r8q9b.net
KR,http://150.230.254.8:9033
JP,https://hide.maruo.co.jp
JP,http://www.hidemaru.interlink.or.jp
JP,http://hidemaru.interlink.or.jp
JP,http://hide.maruo.co.jp
US,http://129.146.240.90:2266
US,http://translate.varyshop.eu
US,https://translate.varyshop.eu
CN,https://deeplx.somethings.top
CN,http://deeplx.somethings.top
CN,http://translate.somethings.top
CN,https://translate.somethings.top
CN,http://114.214.198.243:5188
US,http://deeplx.gggggg.me
US,https://deeplx.gggggg.me
US,https://www.earendal.win
US,http://www.earendal.win
US,https://deeplx.ygxz.in
US,http://deeplx.ygxz.in
US,https://deeplx.1226666.xyz
CN,https://deeplx.carrrot.cc
US,https://deeplx.vio.app
US,http://deeplx.vio.app
CN,http://deeplx.carrrot.cc
FR,http://mailserver.britainconnected.com:8088
US,https://deeplx-api.hhtjim.com
US,http://deeplx-api.hhtjim.com
US,http://deeplx.izual.me
US,https://deeplx.izual.me
US,http://ntt.geoabc.top:1188
KR,http://deepl.9h.pw
KR,https://deepl.9h.pw
CA,https://132.145.101.181
US,http://deeplxforbs9989.fly.dev
US,https://deepl.fly.dev
US,http://deepl.fly.dev
US,https://deepl.dd4.flier001.top
US,http://deepl.dd4.flier001.top
US,http://tran.neeko.cloudns.org
US,https://tran.neeko.cloudns.org
US,https://deepl.huilon.net.cn
US,http://deepl.huilon.net.cn
US,http://deeplx.gaoxiaobei.top
US,https://deeplx.gaoxiaobei.top
CN,https://deeplx.oxcafebabe.cn
CN,http://101.43.249.151:1188
CN,http://222.73.8.123:1188
US,http://148.135.52.164:1188
RU,http://82.146.51.42:1188
US,https://deeplx.myddns.plus
US,http://deeplx.myddns.plus
JP,http://141.147.170.199:1188
JP,http://158.101.75.138:1188
US,http://64.44.177.194:1188
RU,http://82.146.51.3:1188
KR,https://221.165.10.60:5443
JP,http://140.238.52.183:1188
JP,http://104.214.145.200:1188
US,http://104.168.134.45:1188
CA,http://66.103.206.249:1188
US,http://104.234.25.188:1188
CN,http://45.153.130.211:1188
KR,http://211.227.72.101:1188
JP,http://132.226.14.46:1188
RU,http://45.140.169.30:1188
US,http://129.146.241.124:1188
KR,http://193.123.240.176:1188
DE,http://116.203.83.80:1188
CN,https://116.232.107.15:8118
DE,http://142.132.163.211:1188
US,http://bs.yaney.top:1188
NL,http://5.255.109.83:1188
US,http://deeplx.555111.best
US,https://deeplx.555111.best
CA,http://www.xtranslate.dev
CA,https://www.xtranslate.dev
US,http://translate.hulb.club
US,https://translate.hulb.club
JP,http://212.50.249.90:2002
JP,http://132.226.8.232:1188
CA,http://74.48.31.174:1188
AE,http://193.123.74.149:1188
US,http://206.237.23.172:1188
JP,http://140.238.62.94:1188
JP,http://140.238.45.235:1188
US,http://154.26.189.65:12000
CN,http://47.79.16.255:1188
US,http://45.145.74.178:1188
US,http://192.210.143.151:1188
US,http://49.51.207.103:1188
CN,http://103.73.67.121:1188
NL,http://185.45.192.7:1188
-,http://161.118.247.232:1188
US,http://134.185.84.215:1188
CN,http://47.100.121.25:1188
US,http://47.81.25.62:1188
US,http://141.148.128.212:1188
US,http://148.135.106.162:1188
CN,http://101.201.173.157:1188
SG,http://129.150.62.19:1188
US,http://192.9.230.174:1188
CN,http://139.226.28.235:1188
US,http://192.3.134.212:1188
CN,http://8.218.132.70:1188
KR,http://193.123.249.228:1188
CN,http://47.122.44.111:1188
CN,http://43.143.124.106:1188
KR,http://61.79.138.39:1188
CN,http://47.99.195.29:1188
CN,http://47.76.69.242:1188
CN,http://81.68.127.72:1188
US,http://104.234.60.178:1188
US,http://91.186.210.75:1188
SG,http://101.32.108.43:1188
CN,http://101.201.211.113:1188
US,http://64.69.41.190:1188
US,http://62.204.54.150:1188
US,http://129.153.98.208:1188
CN,http://117.30.47.245:1188
CN,http://114.132.249.217:1188
US,http://192.9.149.79:1188
US,http://129.146.192.33:1188
SG,http://124.156.196.4:1188
PK,http://154.201.90.223:1188
JP,http://132.145.120.142:1188
US,http://107.172.103.49:1188
US,http://148.135.98.234:1188
PK,http://154.201.90.244:1188
BR,http://179.165.139.243:1188
CN,http://39.101.172.92:1188
CA,http://38.102.86.180:1188
TH,http://8.213.217.64:1188
SG,http://43.160.201.181:1188
NL,http://45.8.145.61:1188
GB,http://95.181.212.55:1188
DE,http://185.217.109.175:1188
CN,http://185.243.240.11:1188
US,http://154.44.8.182:1188
CN,http://43.129.249.234:1188
JP,http://158.101.70.80:1188
CN,http://47.122.68.150:1188
US,http://154.44.10.212:1188
US,http://165.227.18.166:1188
IN,http://140.238.249.83:1188
CA,http://4.206.29.184:1188
US,http://43.135.148.156:1188
US,http://43.153.38.254:1188
KR,http://152.69.226.104:1188
SG,http://43.134.250.154:1188
US,http://172.245.41.35:1188
US,http://173.242.118.21:1188
US,http://23.94.25.208:1188
US,http://192.3.60.182:1188
US,http://23.160.193.182:1188
US,http://107.174.107.226:1188
CN,http://139.224.191.20:1188
-,http://23.165.248.103:1188
CN,http://123.60.69.127:1188
CN,http://119.3.214.144:1188
IN,http://107.175.32.211:1188
US,http://35.212.231.0:1188
CN,http://47.116.172.126:1188
US,http://66.151.32.248:1188
CN,http://110.40.227.106:1188
CN,http://47.122.47.35:1188
US,http://35.212.168.171:1188
US,http://149.248.19.49:1188
CA,http://74.48.204.64:1188
NL,http://89.110.70.62:1188
US,http://37.123.193.136:1188
JP,http://140.238.58.237:1188
CN,http://8.137.20.111:1188
US,http://43.130.10.231:1188
AU,http://172.237.21.150:1188
CN,http://203.25.119.208:1188
CN,http://218.166.178.126:1188
CN,http://47.120.76.34:1188
KR,http://152.67.211.94:1188
CA,https://ivtgoaiswvz71k-deeplx.262420.xyz
US,http://158.101.4.186:1188
IR,http://91.186.216.183:1188
CN,http://154.223.178.3:1188
CN,http://8.137.108.177:1188
SG,http://146.235.16.205:1188
US,http://89.208.251.226:1188
CA,http://ivtgoaiswvz71k-deeplx.262420.xyz
GB,http://185.168.195.123:1188
US,http://38.12.21.254:1188
US,http://104.168.11.99:1188
US,http://104.238.61.86:1188
CN,http://119.28.77.231:1188
SG,http://111.119.236.52:1188
CN,http://125.229.109.195:1188
CN,http://121.43.181.69:1188
US,http://198.12.71.190:1188
AU,http://152.67.111.243:1188
US,http://45.33.120.170:1188
JP,http://193.111.30.157:1188
US,http://66.98.122.77:1188
KR,http://130.162.130.197:1188
JP,http://158.101.137.14:1188
CN,http://106.54.240.55:1188
US,http://154.17.5.7:1188
DE,http://157.90.115.116:1188
US,http://149.88.67.142:1188
CN,http://183.173.22.237:1188
US,https://deeplx-api.2.hhtjim.com
IN,http://140.238.163.155:1188
NL,http://31.207.45.229:1188
SG,http://202.133.214.223:1188
CA,http://ollama.1ove.tech:1188
CA,http://b.1ove.tech:1188
CA,http://a.1ove.tech:1188
US,http://107.172.87.53:1188
MY,http://154.83.84.211:1188
CN,http://117.72.199.86:1188
US,http://104.36.86.174:1188
JP,http://47.79.32.204:1188
JP,http://20.222.105.180:1188
US,http://45.139.193.24:1188
US,http://129.153.220.68:1188
TR,http://45.155.125.108:1188
US,http://47.79.86.80:1188
JP,http://43.153.149.66:1188
JP,http://47.74.15.152:1188
CN,http://www.camelliagame.top:1188
CN,http://117.74.66.184:1188
US,http://170.9.233.133:1188
KR,http://193.122.124.18:1188
CN,http://125.122.15.253:1188
CN,http://8.130.38.77:1188
US,http://172.83.157.240:1188
US,http://142.171.157.12:1188
US,http://172.83.158.181:1188
US,http://142.171.228.132:1188
CN,http://1.94.226.160:1188
US,http://174.136.204.58:8088
SG,http://124.243.182.111:1188
CN,http://47.108.204.106:1188
DE,http://158.180.58.53:1188
KR,http://146.56.156.60:1188
JP,http://138.3.217.235:1188
US,http://107.172.234.39:1188
FR,http://51.83.67.83:1188
US,http://142.171.166.53:1188
GB,http://84.8.158.64:1188
CN,http://47.102.208.186:1188
CN,http://156.255.90.126:1188
CN,http://143.92.32.173:1188
US,http://51.81.187.241:1188
JP,http://162.43.7.144:1188
KR,http://140.238.11.165:1188
JP,http://138.2.11.53:1188
US,http://51.81.155.84:1188
US,http://107.173.140.101:1188
CN,http://1.94.7.142:1188
CN,http://47.120.44.169:1188
JP,http://47.79.39.15:30006
CN,http://223.166.7.156:1188
US,http://172.83.158.132:1188
CN,http://223.166.7.131:1188
SG,http://43.156.183.48:1188
DE,http://45.67.217.51:1188
CN,http://116.198.224.225:1188
US,http://23.106.154.42:1188
SG,http://158.178.237.207:1188
SG,http://158.178.227.92:1188
US,http://45.145.72.146:1188
SG,http://168.138.161.222:1188
CN,http://183.172.34.139:1188
CH,http://141.11.92.27:1188
CN,http://43.251.226.20:1188
RU,http://158.255.6.215:1188
CN,http://123.56.109.33:1188
-,http://23.191.8.35:1188
FR,http://129.151.225.228:1188
CN,http://183.172.9.94:1188
CN,http://45.192.98.173:1188
SG,http://124.243.132.21:1188
CN,http://8.130.110.240:1188
US,http://142.171.225.251:1188
CN,http://42.48.93.78:1188
US,http://47.79.88.99:1188
FR,http://51.159.177.131:1188
CN,http://103.244.89.151:1188
US,http://185.77.226.168:1188
NL,http://45.58.165.132:1188
US,http://47.84.36.15:1188
US,http://htd.dgzro.icu:1188
CN,http://223.166.102.174:1188
US,http://74.211.108.169:1188
CN,http://8.218.202.14:1188
KR,http://144.24.94.201:1188
US,http://45.63.22.158:1188
JP,http://45.32.61.166:1188
SG,http://158.178.226.243:1188
CN,http://43.142.31.186:1188
DE,http://162.55.35.20:1188
US,http://104.168.28.131:1188
US,http://89.117.172.208:1188
US,http://45.145.75.161:1188
FR,http://37.187.134.193:1188
CN,http://111.230.69.170:1188
JP,http://45.14.106.233:1188
CN,http://123.56.242.156:1188
US,http://158.51.124.162:1188
US,http://172.83.158.171:1188
JP,http://103.29.68.116:1188
KR,http://101.33.76.44:1188
US,http://142.171.162.95:1188
US,http://142.171.72.33:1188
US,http://23.94.175.183:1188
JP,http://168.138.214.221:1188
KR,http://144.24.68.95:1188
US,http://104.223.45.177:1188
JP,http://150.230.105.228:1188
CN,http://183.172.47.90:1188
CN,http://192.144.210.105:1188
US,http://148.135.89.187:1188
US,http://64.112.40.151:1188
US,http://104.245.12.208:1188
CN,http://43.138.46.231:1188
DE,http://85.215.154.44:1188
CA,http://74.48.170.227:1188
CN,http://45.192.96.118:1188
US,http://45.145.72.182:1188
IN,http://146.56.49.67:1188
CA,http://74.48.37.45:1188
CN,http://202.189.10.159:1188
US,http://104.194.74.101:1188
US,http://173.242.117.188:1188
SG,http://47.245.92.225:1188
FR,http://141.94.251.3:1188
JP,http://155.248.187.32:1188
KR,http://221.165.10.60:1188
US,http://23.158.24.208:1188
KR,http://193.122.98.152:1188
CN,http://116.198.235.163:1188
US,http://142.171.81.36:1188
FR,http://195.154.184.125:1188
JP,http://140.83.87.132:1188
CN,http://43.139.72.108:1188
KR,http://152.70.39.45:1188
